sentence,label
What is the use of account verification,WHY_VERIFY
Why should I verify,WHY_VERIFY
Fast withdrawalIs there fast withdrawal,INSTANT_WITHDRAWAL
Instant withdrawal is available,INSTANT_WITHDRAWAL
Instant withdrawal Not available,INSTANT_WITHDRAWAL
I referred to one of my friend he got all necessary step done but then also it not showing in the referral,CHAT_WITH_AN_AGENT
I ask a number of question to the bot but the query is not answered can you connect to Agent,CHAT_WITH_AN_AGENT
I am still waiting for my deposit money to get reflected in my wallet,CHAT_WITH_AN_AGENT
It seems the wallet still not updated,CHAT_WITH_AN_AGENT
I am facing issue connect to agent,CHAT_WITH_AN_AGENT
Did not receive my sign up amount,CHAT_WITH_AN_AGENT
Need to connect with an agent,CHAT_WITH_AN_AGENT
My sign up bonus is incorrect,CHAT_WITH_AN_AGENT
Why it is showing wrong balance,CHAT_WITH_AN_AGENT
I do not need chat agent,CHAT_WITH_AN_AGENT
Didn't receive money with my referrals,CHAT_WITH_AN_AGENT
Can I talk to you,CHAT_WITH_AN_AGENT
My referral amount is incorrect,CHAT_WITH_AN_AGENT
I can't see my withdrawal,CHAT_WITH_AN_AGENT
My deposit is not visible,CHAT_WITH_AN_AGENT
Did not receive my bonus,CHAT_WITH_AN_AGENT
Did not receive my winnings,CHAT_WITH_AN_AGENT
"No, I couldn't find",CHAT_WITH_AN_AGENT
My bonus is wrong,CHAT_WITH_AN_AGENT
My balance is incorrect,CHAT_WITH_AN_AGENT
My winnings are incorrect,CHAT_WITH_AN_AGENT
Nope,CHAT_WITH_AN_AGENT
Couldn't,CHAT_WITH_AN_AGENT
Didn't,CHAT_WITH_AN_AGENT
Why I haven't received any email confirmation link,NO_EMAIL_CONFIRMATION
Why I haven't received any email confirmation link,NO_EMAIL_CONFIRMATION
When will I receive email confirmation,NO_EMAIL_CONFIRMATION
Didn't get email confirmation,NO_EMAIL_CONFIRMATION
No Email Confirmation,NO_EMAIL_CONFIRMATION
What is considered as FairPlay Violation on PowerPlay11?,FAIRPLAY_VIOLATIONS
How my play will be consider as fair,FAIRPLAY_VIOLATIONS
Violation rules,FAIRPLAY_VIOLATIONS
How to reset account,ACCOUNT_RESET
Signup Bonus,SIGNUP_BONUS
If match get abandoned will I get refund,MATCH_ABANDONED
What if a match is abandoned?,MATCH_ABANDONED
If there is a tie between two users in quiz,WHAT_IF_THERES_A_TIE
What happens in case there is a tie,WHAT_IF_THERES_A_TIE
Same score between two players ,WHAT_IF_THERES_A_TIE
I want to know your contact number,CONTACT_NUMBER
Help me with your contact number,CONTACT_NUMBER
Can I get your contact number,CONTACT_NUMBER
Call me back,CONTACT_NUMBER
Customer care number,CONTACT_NUMBER
Contact Details,CONTACT_NUMBER
When Are the Winnings Distributed on PowerPlay11,WHEN_WINNINGS_DISTRIBUTED
When will I get the winning amount,WHEN_WINNINGS_DISTRIBUTED
When will I receiev my winning amount,WHEN_WINNINGS_DISTRIBUTED
Why is my amount not credited,WHEN_WINNINGS_DISTRIBUTED
Winnings amount not credited,WHEN_WINNINGS_DISTRIBUTED
What if a game is completed with wrong scores?,WRONG_SCORES
How to change Bank account,CHANGE_BANK_ACCOUNT
When are the scores updated on PowerPlay11,WHEN_SCORES_UPDATED
When Are the Scores Updated,WHEN_SCORES_UPDATED
When will scores be updated,WHEN_SCORES_UPDATED
Thanks a lot,THANKS
Thank you,THANKS
Tysm,THANKS
How can I join a Contest on PowerPlay11?,JOIN_CONTEST
What are the ways to join contest,JOIN_CONTEST
Join a contest,JOIN_CONTEST
Withdraw Cash Bonus,WITHDRAW_CASH_BONUS
How to update the app,UPDATE_APP
What is the meaning of C infront a league,CANNOT_SEE_JOINED_CONTESTS
I joined a league but now it's not showing ,CANNOT_SEE_JOINED_CONTESTS
Amount deducted but showing no league joined,CANNOT_SEE_JOINED_CONTESTS
My contest does not show,CANNOT_SEE_JOINED_CONTESTS
Cannot See Joined Contests,CANNOT_SEE_JOINED_CONTESTS
C icon,CANNOT_SEE_JOINED_CONTESTS
Contest Cancellation,CANNOT_SEE_JOINED_CONTESTS
How to download app,DOWNLOAD_POWERPLAY11
How to download PowerPlay11,DOWNLOAD_POWERPLAY11
What is the steps to withdraw amount,WITHDRAWAL_INTRO
What are the steps to withdraw money,WITHDRAWAL_INTRO
How much winning can I withdraw,WITHDRAWAL_INTRO
Minimum amount I can withdraw,WITHDRAWAL_INTRO
Where is my withdraw,WITHDRAWAL_INTRO
Limit of withdrawal,WITHDRAWAL_INTRO
Why is my winning amount less than mentioned in Prize list for my rank?,LESS_WINNINGS_AMOUNT
Why My Winning Amount is Low,LESS_WINNINGS_AMOUNT
Points for Match name not updated,POINTS_NOT_UPDATED
Points are not getting updated,POINTS_NOT_UPDATED
Match name points not updated,POINTS_NOT_UPDATED
Player name points not updated,POINTS_NOT_UPDATED
Player points not updated,POINTS_NOT_UPDATED
Please update match points,POINTS_NOT_UPDATED
Match results still pending,POINTS_NOT_UPDATED
Points not updated,POINTS_NOT_UPDATED
Update points fast,POINTS_NOT_UPDATED
Points Delay,POINTS_NOT_UPDATED
I want to know about new team format,NEW_TEAM_PATTERN
How many wicket keeper I can select,NEW_TEAM_PATTERN
How many all rounder I can select,NEW_TEAM_PATTERN
What is the new team format,NEW_TEAM_PATTERN
How many bolwers I can select,NEW_TEAM_PATTERN
How many all-rounder I can select,NEW_TEAM_PATTERN
How many battsman I can select,NEW_TEAM_PATTERN
How Can I Play on PowerPlay11,HOW_TO_PLAY
I don't know how to play,HOW_TO_PLAY
Can you help me to play,HOW_TO_PLAY
Teach me to play,HOW_TO_PLAY
How to Play,HOW_TO_PLAY
Guidelines to play,HOW_TO_PLAY
Do I need to pay tax for winning,TAXES_ON_WINNINGS
Are there any taxes associated with withdrawals,TAXES_ON_WINNINGS
How much tax will be deducted,TAXES_ON_WINNINGS
Am I supposed to pay tax,TAXES_ON_WINNINGS
How much tax to pay,TAXES_ON_WINNINGS
Taxes on Winnings,TAXES_ON_WINNINGS
Tax deduction,TAXES_ON_WINNINGS
Liable tax,TAXES_ON_WINNINGS
What should I do to verify my mobile number,VERIFY_MOBILE
How do I verify mobile number,VERIFY_MOBILE
Can you help me with something else,CAPABILITIES
What can you do for me,CAPABILITIES
I have other queries,CAPABILITIES
Help me,CAPABILITIES
You have your own team in the leagues,FAKE_TEAMS
Why leagues get full in the last moment ,FAKE_TEAMS
Why in last 2-3 minutes leagues get full,FAKE_TEAMS
Office Own team,FAKE_TEAMS
Fake teams,FAKE_TEAMS
Not genuine,FAKE_TEAMS
Fraud team,FAKE_TEAMS
Cheating,FAKE_TEAMS
How Are Points Calculated on PowerPlay11,HOW_POINTS_CALCULATED
Types of Contests,TYPES_CONTESTS
My friend was asking for referral code do I will get referral bonus,OFFERS_AND_REFERRALS
I want to know about offers and referral programs,OFFERS_AND_REFERRALS
Offers and referral program are active on the PowerPlay11,OFFERS_AND_REFERRALS
What are new offer this week for me,OFFERS_AND_REFERRALS
Do you have any referral offer for me,OFFERS_AND_REFERRALS
Show me some offers and referrals program,OFFERS_AND_REFERRALS
What is the refer and earn program,OFFERS_AND_REFERRALS
What are active offers for me,OFFERS_AND_REFERRALS
Show me new offers,OFFERS_AND_REFERRALS
Back to offers,OFFERS_AND_REFERRALS
I was surfing with the PowerPlay11 website now I thought I should play it would you let me know my balance,CHECK_WALLET_BALANCE
How much amount are left in my wallet balance,CHECK_WALLET_BALANCE
"I went england, I want to check my balance",CHECK_WALLET_BALANCE
I want to see my wallet balance,CHECK_WALLET_BALANCE
Money left in my wallet ,CHECK_WALLET_BALANCE
Show my wallet balance,CHECK_WALLET_BALANCE
Money in my wallet,CHECK_WALLET_BALANCE
Show my bonus,CHECK_WALLET_BALANCE
Cash Bonus,CASH_BONUS
Can I Change my team name on PowerPlay11?,CHANGE_PROFILE_TEAM_DETAILS
How can I change my team name,CHANGE_PROFILE_TEAM_DETAILS
Change My Profile or Team Details,CHANGE_PROFILE_TEAM_DETAILS
Can I change my profile name,CHANGE_PROFILE_TEAM_DETAILS
How to change profile name?,CHANGE_PROFILE_TEAM_DETAILS
Change My Team,CHANGE_PROFILE_TEAM_DETAILS
